Language,Total Records,File Name,Run Number,Instructions Executed,Heap Memory (B),Extra Heap Memory (B),Stack Memory (B)
c,100000,100000_rows.csv,8,655345,57680,7424,1440
c,100000,100000_rows.csv,8,677157,57668,7412,1040
c,100000,100000_rows.csv,8,691901,57668,7412,1040
c,100000,100000_rows.csv,8,709296,57668,7412,1200
c,100000,100000_rows.csv,8,724106,57668,7412,992
c,100000,100000_rows.csv,8,739073,57668,7412,1328
c,100000,100000_rows.csv,8,768710,57668,7412,992
c,100000,100000_rows.csv,8,783563,57680,7424,960
c,100000,100000_rows.csv,8,798558,57680,7424,1296
c,100000,100000_rows.csv,8,828195,57680,7424,960
c,100000,100000_rows.csv,8,848124,63500,7604,5088
c,100000,100000_rows.csv,8,865098,65598,7770,14320
c,100000,100000_rows.csv,8,879985,65381,7939,5472
c,100000,100000_rows.csv,8,902264,67739,8197,12144
c,100000,100000_rows.csv,8,925683,68406,8314,12112
c,100000,100000_rows.csv,8,948117,67460,8276,2800
c,100000,100000_rows.csv,8,962935,66476,8204,1392
c,100000,100000_rows.csv,8,985137,66927,8545,1616
c,100000,100000_rows.csv,8,1009241,67035,8533,1536
c,100000,100000_rows.csv,8,1043390,64360,7864,1456
c,100000,100000_rows.csv,8,1055778,67129,8567,1984
c,100000,100000_rows.csv,8,1068173,66906,8366,1264
c,100000,100000_rows.csv,9,0,0,0,0
c,100000,100000_rows.csv,9,19217,0,0,336
c,100000,100000_rows.csv,9,47846,0,0,1104
c,100000,100000_rows.csv,9,69360,0,0,2000
c,100000,100000_rows.csv,9,82221,0,0,1936
c,100000,100000_rows.csv,9,106486,0,0,1680
c,100000,100000_rows.csv,9,120890,0,0,1680
c,100000,100000_rows.csv,9,150618,0,0,1936
c,100000,100000_rows.csv,9,169315,0,0,1680
c,100000,100000_rows.csv,9,197166,0,0,2000
c,100000,100000_rows.csv,9,215842,0,0,2000
c,100000,100000_rows.csv,9,228229,0,0,1680
c,100000,100000_rows.csv,9,249324,0,0,1680
c,100000,100000_rows.csv,9,272617,0,0,2000
c,100000,100000_rows.csv,9,293371,0,0,2000
c,100000,100000_rows.csv,9,313135,0,0,2000
c,100000,100000_rows.csv,9,340817,0,0,2000
c,100000,100000_rows.csv,9,363025,0,0,2000
c,100000,100000_rows.csv,9,378719,0,0,1680
